index,Ship Mode,Predicted
11674,Second Class,Standard Class
7617,Standard Class,Standard Class
34437,Standard Class,Standard Class
30844,Same Day,Standard Class
11365,Second Class,Standard Class
1729,First Class,Standard Class
40699,Standard Class,Standard Class
1910,First Class,Standard Class
35326,Standard Class,Standard Class
10618,Second Class,Standard Class
17468,Standard Class,Standard Class
33169,Standard Class,Standard Class
26269,Second Class,Standard Class
32004,Second Class,Standard Class
33556,Standard Class,Standard Class
43434,Standard Class,Standard Class
13834,First Class,Standard Class
24751,Second Class,Standard Class
23375,Standard Class,Standard Class
27626,Same Day,Standard Class
18924,Standard Class,Standard Class
45242,Standard Class,Standard Class
15592,Standard Class,Standard Class
44509,Standard Class,Standard Class
28935,First Class,Standard Class
44502,Standard Class,Standard Class
14190,Second Class,Standard Class
9032,Standard Class,Standard Class
35118,Standard Class,Standard Class
32259,Second Class,Standard Class
46187,Second Class,Standard Class
19168,Standard Class,Standard Class
10023,First Class,Standard Class
14319,Second Class,Standard Class
35061,Standard Class,Standard Class
32891,Standard Class,Standard Class
30775,First Class,Standard Class
33704,Standard Class,Standard Class
13998,Second Class,Standard Class
7121,Standard Class,Standard Class
8764,Standard Class,Standard Class
40204,Standard Class,Standard Class
21184,Standard Class,Standard Class
41684,Standard Class,Standard Class
34730,Standard Class,Standard Class
23841,Second Class,Standard Class
7814,Standard Class,Standard Class
10656,Second Class,Standard Class
31482,Second Class,Standard Class
43438,Standard Class,Standard Class
13717,First Class,
13268,First Class,Standard Class
2993,Standard Class,Standard Class
26449,Second Class,
4068,Standard Class,Standard Class
6707,Standard Class,Standard Class
9618,Second Class,Standard Class
26956,Same Day,
36184,Standard Class,Standard Class
24854,Second Class,Standard Class
15371,Standard Class,Standard Class
19352,Standard Class,Standard Class
10351,First Class,
45387,Standard Class,Standard Class
24671,Second Class,Standard Class
43284,Standard Class,Standard Class
25380,Second Class,Standard Class
24518,First Class,Standard Class
8712,Standard Class,Standard Class
36602,Standard Class,Standard Class
10567,Second Class,Standard Class
27284,First Class,Standard Class
8457,Standard Class,Standard Class
6848,Standard Class,Standard Class
48614,Standard Class,Standard Class
973,Standard Class,Standard Class
8417,Standard Class,Standard Class
35170,Standard Class,Standard Class
573,Standard Class,Standard Class
20120,Standard Class,Standard Class
41782,Standard Class,Standard Class
2710,Standard Class,Standard Class
26331,Second Class,Standard Class
42383,Standard Class,Standard Class
14633,Second Class,Standard Class
30918,Same Day,Standard Class
40350,Standard Class,Standard Class
2240,First Class,Standard Class
15275,Second Class,Standard Class
40692,Standard Class,Standard Class
36928,Standard Class,Standard Class
34670,Standard Class,Standard Class
277,Standard Class,Standard Class
23184,Standard Class,Standard Class
19434,Standard Class,Standard Class
39595,Standard Class,Standard Class
33412,Standard Class,Standard Class
16464,Standard Class,Standard Class
25187,Second Class,Standard Class
9909,First Class,Standard Class
26468,Second Class,
17085,Standard Class,Standard Class
30435,First Class,Standard Class
24461,Same Day,Standard Class
15439,Standard Class,Standard Class
37472,Standard Class,Standard Class
17262,Standard Class,Standard Class
31706,Second Class,Standard Class
6006,Second Class,Standard Class
6295,First Class,Standard Class
48515,Standard Class,Standard Class
35841,Standard Class,Standard Class
47258,Standard Class,Standard Class
1146,Standard Class,Standard Class
33745,Standard Class,Standard Class
10329,First Class,Standard Class
28906,First Class,Standard Class
44187,Standard Class,Standard Class
12685,Same Day,Standard Class
13175,First Class,
15272,Second Class,Standard Class
44588,Standard Class,Standard Class
20615,Standard Class,Standard Class
34388,Standard Class,Standard Class
15350,Standard Class,Standard Class
15012,Second Class,Standard Class
27678,Same Day,Standard Class
42707,Standard Class,Standard Class
2706,Standard Class,Standard Class
4368,Second Class,Standard Class
10998,First Class,Standard Class
15381,Standard Class,Standard Class
32961,Standard Class,Standard Class
26447,Second Class,
6789,Standard Class,Standard Class
25299,Second Class,Standard Class
23363,Standard Class,Standard Class
8472,Standard Class,Standard Class
12759,Same Day,Standard Class
1398,First Class,Standard Class
40583,Standard Class,Standard Class
46743,Standard Class,Standard Class
2567,Standard Class,Standard Class
25790,Same Day,Standard Class
31361,Second Class,Standard Class
33466,Standard Class,Standard Class
36903,Standard Class,Standard Class
12487,Second Class,Standard Class
10518,First Class,
14656,Second Class,Standard Class
29004,First Class,Standard Class
21298,Standard Class,Standard Class
13783,First Class,
5470,Standard Class,Standard Class
37018,Standard Class,Standard Class
12954,First Class,Standard Class
20345,Standard Class,Standard Class
27392,First Class,
16202,Standard Class,Standard Class
29057,First Class,Standard Class
18734,Standard Class,Standard Class
33279,Standard Class,Standard Class
13092,First Class,Standard Class
22071,Standard Class,Standard Class
1057,Standard Class,Standard Class
16765,Standard Class,Standard Class
19881,Standard Class,Standard Class
33363,Standard Class,Standard Class
36514,Standard Class,Standard Class
24835,Second Class,Standard Class
49617,Standard Class,Standard Class
23704,Second Class,Standard Class
8435,Standard Class,Standard Class
3570,Standard Class,Standard Class
44472,Standard Class,Standard Class
46460,Standard Class,Standard Class
13876,First Class,Standard Class
28986,First Class,Standard Class
10152,Second Class,Standard Class
32785,Standard Class,Standard Class
32422,Standard Class,Standard Class
28599,First Class,Standard Class
9268,Same Day,Standard Class
49566,Standard Class,Standard Class
14317,Second Class,Standard Class
47600,Standard Class,Standard Class
20146,Standard Class,Standard Class
18392,Standard Class,Standard Class
36728,Standard Class,Standard Class
14292,Second Class,Standard Class
44061,Standard Class,Standard Class
11569,First Class,
26896,Second Class,Standard Class
6856,Standard Class,Standard Class
9432,Second Class,Standard Class
21815,Standard Class,Standard Class
14702,Second Class,Standard Class
7305,Standard Class,Standard Class
17643,Standard Class,Standard Class
23575,Same Day,
32877,Standard Class,Standard Class
9363,First Class,Standard Class
18093,Standard Class,Standard Class
18718,Standard Class,Standard Class
14994,Second Class,Standard Class
40363,Standard Class,Standard Class
7710,Standard Class,Standard Class
5323,Standard Class,Standard Class
23058,Standard Class,Standard Class
33823,Standard Class,Standard Class
39616,Standard Class,Standard Class
49090,Standard Class,Standard Class
4072,Standard Class,Standard Class
35224,Standard Class,Standard Class
4392,First Class,Standard Class
35683,Standard Class,Standard Class
44787,Standard Class,Standard Class
26813,Second Class,Standard Class
26200,Second Class,Standard Class
21209,Standard Class,Standard Class
42528,Standard Class,Standard Class
35859,Standard Class,Standard Class
42632,Standard Class,Standard Class
23005,Standard Class,Standard Class
25395,Second Class,Standard Class
45208,Second Class,
32162,Second Class,Standard Class
23533,Standard Class,Standard Class
13494,First Class,
6851,Standard Class,Standard Class
22755,Standard Class,Standard Class
9033,Standard Class,Standard Class
41628,Standard Class,Standard Class
26006,First Class,Standard Class
1550,Same Day,Standard Class
14293,Second Class,Standard Class
26139,First Class,Standard Class
22446,Standard Class,Standard Class
10117,First Class,Standard Class
13766,First Class,Standard Class
20826,Standard Class,Standard Class
14494,Second Class,Standard Class
14310,Second Class,Standard Class
16519,Standard Class,Standard Class
42537,Standard Class,Standard Class
31265,Second Class,Standard Class
9008,Standard Class,Standard Class
33007,Standard Class,Standard Class
13002,First Class,Standard Class
17178,Standard Class,Standard Class
27359,Same Day,Standard Class
19512,Standard Class,Standard Class
6880,Standard Class,Standard Class
8592,Standard Class,Standard Class
38966,Standard Class,Standard Class
38611,Standard Class,Standard Class
18792,Standard Class,Standard Class
21107,Standard Class,Standard Class
15560,Standard Class,Standard Class
15049,Second Class,Standard Class
31218,Second Class,Standard Class
1063,Standard Class,Standard Class
9016,Standard Class,Standard Class
11117,Second Class,Standard Class
18352,Standard Class,Standard Class
41061,Standard Class,Standard Class
17506,Standard Class,Standard Class
28417,Same Day,Standard Class
31677,Second Class,Standard Class
17968,Standard Class,Standard Class
41912,Standard Class,Standard Class
47097,Same Day,Standard Class
3115,Standard Class,Standard Class
49374,Second Class,Standard Class
22976,Standard Class,Standard Class
3360,Same Day,
19406,Standard Class,Standard Class
45951,Standard Class,Standard Class
28111,Second Class,Standard Class
113,Standard Class,Standard Class
18196,Standard Class,Standard Class
12003,Second Class,Standard Class
9404,Second Class,Standard Class
47493,First Class,Standard Class
37691,Standard Class,Standard Class
38027,Standard Class,Standard Class
49093,Standard Class,Standard Class
25343,First Class,Standard Class
42759,Standard Class,Standard Class
11363,Second Class,
23523,Standard Class,Standard Class
21405,Standard Class,Standard Class
45025,Standard Class,Standard Class
48450,Standard Class,Standard Class
8832,Standard Class,Standard Class
30073,First Class,
28402,Same Day,Standard Class
43585,Standard Class,Standard Class
44142,Standard Class,Standard Class
6417,Second Class,Standard Class
27132,First Class,Standard Class
15977,Standard Class,Standard Class
40574,Standard Class,Standard Class
9140,Standard Class,Standard Class
4533,Second Class,
48155,Standard Class,Standard Class
10415,Second Class,Standard Class
45547,Standard Class,Standard Class
19564,Standard Class,Standard Class
8907,Standard Class,Standard Class
42253,Standard Class,Standard Class
16572,Standard Class,Standard Class
44644,Standard Class,Standard Class
41484,Standard Class,Standard Class
44698,Standard Class,Standard Class
19072,Standard Class,Standard Class
17889,Standard Class,Standard Class
31418,Second Class,Standard Class
13187,First Class,Standard Class
31865,Second Class,Standard Class
47542,Second Class,Standard Class
16360,Standard Class,Standard Class
41613,Standard Class,Standard Class
30243,First Class,Standard Class
36080,Standard Class,Standard Class
15529,Standard Class,Standard Class
33589,Standard Class,Standard Class
18702,Standard Class,Standard Class
9752,First Class,Standard Class
11745,Second Class,Standard Class
27256,First Class,Standard Class
3024,Standard Class,Standard Class
48166,Standard Class,Standard Class
47492,First Class,Standard Class
31262,Second Class,Standard Class
31058,Same Day,
20343,Standard Class,Standard Class
37546,Standard Class,Standard Class
31254,Second Class,Standard Class
12084,Second Class,Standard Class
27540,Second Class,Standard Class
16678,Standard Class,Standard Class
12144,First Class,Standard Class
14631,Second Class,Standard Class
22101,Standard Class,Standard Class
29983,Second Class,Standard Class
16207,Standard Class,Standard Class
31497,Second Class,Standard Class
23003,Standard Class,Standard Class
4679,First Class,
39098,Standard Class,Standard Class
37353,Standard Class,Standard Class
24600,First Class,Standard Class
7082,Standard Class,Standard Class
39407,Standard Class,Standard Class
29725,Second Class,Standard Class
29137,Second Class,Standard Class
5602,Standard Class,Standard Class
44808,Standard Class,Standard Class
3122,Standard Class,Standard Class
671,Standard Class,Standard Class
45001,Standard Class,Standard Class
37892,Standard Class,Standard Class
12911,First Class,
13690,First Class,Standard Class
12352,Second Class,
42580,Standard Class,Standard Class
2194,Second Class,Standard Class
3385,Same Day,
27809,First Class,Standard Class
32921,Standard Class,Standard Class
45832,Standard Class,Standard Class
16805,Standard Class,Standard Class
13508,First Class,Standard Class
33390,Standard Class,Standard Class
1985,Second Class,Standard Class
8848,Standard Class,Standard Class
28031,Same Day,Standard Class
29108,Second Class,
42681,Standard Class,Standard Class
46169,Same Day,Standard Class
25825,First Class,
12195,First Class,Standard Class
22207,Standard Class,Standard Class
45331,Standard Class,Standard Class
2900,Standard Class,Standard Class
37255,Standard Class,Standard Class
49530,Standard Class,Standard Class
41085,Standard Class,Standard Class
43363,Standard Class,Standard Class
38924,Standard Class,Standard Class
39518,Standard Class,Standard Class
14211,Second Class,Standard Class
19515,Standard Class,Standard Class
22750,Standard Class,Standard Class
47656,Same Day,Standard Class
44063,Standard Class,Standard Class
21342,Standard Class,Standard Class
14378,Second Class,Standard Class
33393,Standard Class,Standard Class
34746,Standard Class,Standard Class
18894,Standard Class,Standard Class
32545,Standard Class,Standard Class
27482,First Class,Standard Class
12417,Same Day,Standard Class
28003,Second Class,Standard Class
1577,Same Day,Standard Class
48905,Second Class,Standard Class
18767,Standard Class,Standard Class
3176,Standard Class,Standard Class
21512,Standard Class,Standard Class
1644,Second Class,Standard Class
46793,Same Day,Standard Class
24692,Second Class,Standard Class
3281,Second Class,Standard Class
46208,First Class,Standard Class
7565,Standard Class,Standard Class
11649,Second Class,Standard Class
31396,Second Class,Standard Class
6822,Standard Class,Standard Class
15492,Standard Class,Standard Class
21504,Standard Class,Standard Class
40249,Standard Class,Standard Class
25895,First Class,
26236,Second Class,Standard Class
23051,Standard Class,Standard Class
34152,Standard Class,Standard Class
26730,Second Class,Standard Class
23741,Second Class,Standard Class
20866,Standard Class,Standard Class
6024,First Class,Standard Class
23268,Standard Class,Standard Class
45081,Standard Class,Standard Class
10167,Second Class,Standard Class
2596,Standard Class,Standard Class
28375,Same Day,Standard Class
13638,First Class,Standard Class
35385,Standard Class,Standard Class
22445,Standard Class,Standard Class
4880,Standard Class,Standard Class
32321,Standard Class,Standard Class
17411,Standard Class,Standard Class
29918,Second Class,Standard Class
13479,First Class,Standard Class
11021,First Class,Standard Class
13547,First Class,Standard Class
24318,Same Day,
49419,Standard Class,Standard Class
40512,Standard Class,Standard Class
23070,Standard Class,Standard Class
47353,Second Class,Standard Class
16516,Standard Class,Standard Class
26536,Second Class,Standard Class
10039,First Class,Standard Class
40529,Standard Class,Standard Class
46670,Standard Class,Standard Class
28484,Same Day,Standard Class
2738,Standard Class,Standard Class
3434,First Class,Standard Class
28404,Same Day,Standard Class
26301,Second Class,Standard Class
43954,Standard Class,Standard Class
43928,Standard Class,Standard Class
13813,First Class,Standard Class
17129,Standard Class,Standard Class
47515,Standard Class,Standard Class
33298,Standard Class,Standard Class
34588,Standard Class,Standard Class
25664,Same Day,
34666,Standard Class,Standard Class
19066,Standard Class,Standard Class
32787,Standard Class,Standard Class
25759,Same Day,Standard Class
41889,Standard Class,Standard Class
9894,Second Class,Standard Class
5922,First Class,Standard Class
9276,Second Class,
4418,First Class,
29360,Second Class,Standard Class
36071,Standard Class,Standard Class
3367,Same Day,
46561,Standard Class,Standard Class
17769,Standard Class,Standard Class
6932,Standard Class,Standard Class
6778,Standard Class,Standard Class
40340,Standard Class,Standard Class
18637,Standard Class,Standard Class
4537,First Class,Standard Class
4424,First Class,Standard Class
20883,Standard Class,Standard Class
26710,Second Class,Standard Class
47573,Standard Class,Standard Class
6369,Second Class,Standard Class
38294,Standard Class,Standard Class
13923,Second Class,
29424,Second Class,Standard Class
28527,First Class,Standard Class
41189,Standard Class,Standard Class
18283,Standard Class,Standard Class
24315,Second Class,Standard Class
24795,Second Class,
5073,Standard Class,Standard Class
13330,First Class,Standard Class
38911,Standard Class,Standard Class
23958,Second Class,Standard Class
1737,Second Class,Standard Class
8188,Standard Class,Standard Class
43509,Standard Class,Standard Class
10848,Second Class,
45635,Second Class,Standard Class
24611,First Class,Standard Class
11685,Second Class,Standard Class
48227,Standard Class,Standard Class
1882,Second Class,Standard Class
2810,Standard Class,Standard Class
32899,Standard Class,Standard Class
25066,First Class,
1654,Second Class,
32301,Standard Class,Standard Class
27531,Same Day,Standard Class
38520,Standard Class,Standard Class
3455,Second Class,Standard Class
25044,First Class,
47502,Standard Class,Standard Class
31990,Second Class,Standard Class
12442,Second Class,Standard Class
29166,Second Class,Standard Class
30370,First Class,Standard Class
8936,Standard Class,Standard Class
8708,Standard Class,Standard Class
7405,Standard Class,Standard Class
4415,Same Day,
30133,First Class,
49253,Standard Class,Standard Class
38011,Standard Class,Standard Class
29259,Second Class,Standard Class
24101,Same Day,
33049,Standard Class,Standard Class
6414,Second Class,Standard Class
16137,Standard Class,Standard Class
27903,First Class,
13086,First Class,
42054,Standard Class,Standard Class
47416,Standard Class,Standard Class
16437,Standard Class,Standard Class
18002,Standard Class,Standard Class
16647,Standard Class,Standard Class
31795,Second Class,Standard Class
7008,Standard Class,Standard Class
44863,Standard Class,Standard Class
10593,Second Class,Standard Class
20500,Standard Class,Standard Class
12551,Same Day,
31846,Second Class,Standard Class
11111,Second Class,Standard Class
35428,Standard Class,Standard Class
21485,Standard Class,Standard Class
43116,Standard Class,Standard Class
22210,Standard Class,Standard Class
39771,Standard Class,Standard Class
33383,Standard Class,Standard Class
48420,Standard Class,Standard Class
15150,Second Class,Standard Class
28194,Second Class,Standard Class
48777,First Class,
15161,Second Class,
16891,Standard Class,Standard Class
28903,First Class,
4841,Second Class,Standard Class
29799,Second Class,
5658,Standard Class,Standard Class
16362,Standard Class,Standard Class
13441,First Class,
46203,Same Day,
46304,Second Class,Standard Class
27238,Same Day,Standard Class
41512,Standard Class,Standard Class
29713,Second Class,Standard Class
22441,Standard Class,Standard Class
38773,Standard Class,Standard Class
31591,Second Class,Standard Class
31387,Second Class,Standard Class
21241,Standard Class,Standard Class
9657,First Class,Standard Class
30121,First Class,
33180,Standard Class,Standard Class
4399,Same Day,
28370,Same Day,
27741,Second Class,Standard Class
12578,Same Day,Standard Class
1221,Second Class,Standard Class
42941,Standard Class,Standard Class
19397,Standard Class,Standard Class
10902,Same Day,Standard Class
19215,Standard Class,Standard Class
34184,Standard Class,Standard Class
45289,Standard Class,Standard Class
22568,Standard Class,Standard Class
27486,Second Class,Standard Class
2209,Second Class,Standard Class
45370,Second Class,Standard Class
49318,Standard Class,Standard Class
24282,First Class,Standard Class
43000,Standard Class,Standard Class
12763,Same Day,
25615,Same Day,Standard Class
48112,Standard Class,Standard Class
42557,Standard Class,Standard Class
21819,Standard Class,Standard Class
29926,Second Class,Standard Class
49610,Standard Class,Standard Class
2144,First Class,Standard Class
9285,Second Class,Standard Class
1323,Second Class,Standard Class
8343,Standard Class,Standard Class
14495,Second Class,Standard Class
32406,Standard Class,Standard Class
21834,Standard Class,Standard Class
27057,First Class,Standard Class
48607,Standard Class,Standard Class
46570,Standard Class,Standard Class
14694,Second Class,Standard Class
8437,Standard Class,Standard Class
41448,Standard Class,Standard Class
46212,Second Class,Standard Class
35501,Standard Class,Standard Class
31312,Second Class,Standard Class
30290,First Class,Standard Class
41135,Standard Class,Standard Class
13577,First Class,Standard Class
10151,Second Class,Standard Class
29646,Second Class,Standard Class
28805,First Class,Standard Class
16801,Standard Class,Standard Class
14074,Second Class,
3397,Second Class,
10399,Second Class,Standard Class
38587,Standard Class,Standard Class
11928,Second Class,Standard Class
28822,First Class,Standard Class
6590,Second Class,Standard Class
25410,Same Day,Standard Class
18472,Standard Class,Standard Class
46537,Standard Class,Standard Class
46358,Standard Class,Standard Class
14132,Second Class,Standard Class
44699,Standard Class,Standard Class
774,Standard Class,Standard Class
42507,Standard Class,Standard Class
10181,First Class,Standard Class
36972,Standard Class,Standard Class
10054,First Class,Standard Class
43855,Standard Class,Standard Class
43665,Standard Class,Standard Class
14566,Second Class,Standard Class
39807,Standard Class,Standard Class
31529,Second Class,Standard Class
1874,Same Day,Standard Class
17726,Standard Class,Standard Class
10947,Second Class,Standard Class
22764,Standard Class,Standard Class
48115,Second Class,Standard Class
27710,First Class,
18807,Standard Class,Standard Class
45514,Second Class,Standard Class
32904,Standard Class,Standard Class
44739,Standard Class,Standard Class
36736,Standard Class,Standard Class
45386,Standard Class,Standard Class
2323,First Class,Standard Class
21010,Standard Class,Standard Class
2180,Second Class,Standard Class
2788,Standard Class,Standard Class
12385,Second Class,Standard Class
39119,Standard Class,Standard Class
3366,Same Day,
46940,First Class,Standard Class
24413,Same Day,Standard Class
18469,Standard Class,Standard Class
41835,Standard Class,Standard Class
2868,Standard Class,Standard Class
33142,Standard Class,Standard Class
35212,Standard Class,Standard Class
16245,Standard Class,Standard Class
6164,Second Class,Standard Class
26734,Second Class,Standard Class
34439,Standard Class,Standard Class
39203,Standard Class,Standard Class
1873,Second Class,Standard Class
16475,Standard Class,Standard Class
18699,Standard Class,Standard Class
28421,Same Day,
43247,Standard Class,Standard Class
4729,Same Day,
23510,Standard Class,Standard Class
35825,Standard Class,Standard Class
38722,Standard Class,Standard Class
40417,Standard Class,Standard Class
23274,Standard Class,Standard Class
44992,Standard Class,Standard Class
21167,Standard Class,Standard Class
42094,Standard Class,Standard Class
49213,Standard Class,Standard Class
24426,Same Day,Standard Class
1690,Same Day,Standard Class
44385,Standard Class,Standard Class
19342,Standard Class,Standard Class
30482,First Class,Standard Class
41058,Standard Class,Standard Class
9940,Second Class,Standard Class
15260,Second Class,Standard Class
46476,Standard Class,Standard Class
9082,Standard Class,Standard Class
10357,First Class,Standard Class
47359,Standard Class,Standard Class
24839,Second Class,Standard Class
9625,Second Class,Standard Class
35976,Standard Class,Standard Class
14282,Second Class,Standard Class
34565,Standard Class,Standard Class
12664,Same Day,Standard Class
11132,Second Class,Standard Class
45787,First Class,Standard Class
49644,Second Class,
34512,Standard Class,Standard Class
32332,Standard Class,Standard Class
26289,Second Class,Standard Class
20477,Standard Class,Standard Class
16889,Standard Class,Standard Class
33768,Standard Class,Standard Class
11145,Second Class,Standard Class
40647,Standard Class,Standard Class
6900,Standard Class,Standard Class
35397,Standard Class,Standard Class
38829,Standard Class,Standard Class
16791,Standard Class,Standard Class
12887,First Class,Standard Class
15802,Standard Class,Standard Class
28525,First Class,Standard Class
29177,Second Class,Standard Class
30956,Same Day,Standard Class
49385,Standard Class,Standard Class
8471,Standard Class,Standard Class
27316,First Class,Standard Class
25444,First Class,Standard Class
49611,Standard Class,Standard Class
6827,Standard Class,Standard Class
4042,Standard Class,Standard Class
45121,Standard Class,Standard Class
46774,Standard Class,Standard Class
48746,Second Class,
1380,First Class,
11791,Second Class,
21826,Standard Class,Standard Class
23579,Same Day,Standard Class
9430,Second Class,Standard Class
7040,Standard Class,Standard Class
12533,Same Day,Standard Class
26308,Second Class,Standard Class
12890,First Class,Standard Class
43929,Standard Class,Standard Class
25783,Same Day,Standard Class
33835,Standard Class,Standard Class
39378,Standard Class,Standard Class
25277,First Class,Standard Class
40364,Standard Class,Standard Class
34307,Standard Class,Standard Class
44605,Standard Class,Standard Class
9338,First Class,
8709,Standard Class,Standard Class
14377,Second Class,
31116,Same Day,
3719,First Class,Standard Class
16838,Standard Class,Standard Class
17213,Standard Class,Standard Class
785,Standard Class,Standard Class
21245,Standard Class,Standard Class
7079,Standard Class,Standard Class
44261,Standard Class,Standard Class
20528,Standard Class,Standard Class
14693,Second Class,Standard Class
24641,First Class,Standard Class
8296,Standard Class,Standard Class
38390,Standard Class,Standard Class
8909,Standard Class,Standard Class
35072,Standard Class,Standard Class
29597,Second Class,Standard Class
508,Standard Class,Standard Class
31465,Second Class,Standard Class
17042,Standard Class,Standard Class
5650,Standard Class,Standard Class
2590,Standard Class,Standard Class
31275,Second Class,
18488,Standard Class,Standard Class
49417,Same Day,Standard Class
11146,First Class,Standard Class
214,Standard Class,Standard Class
37721,Standard Class,Standard Class
12053,Second Class,Standard Class
25148,First Class,Standard Class
31279,Second Class,Standard Class
40488,Standard Class,Standard Class
37009,Standard Class,Standard Class
28662,First Class,
20520,Standard Class,Standard Class
38578,Standard Class,Standard Class
32269,Second Class,Standard Class
48350,Standard Class,Standard Class
13795,First Class,
37610,Standard Class,Standard Class
29876,Second Class,Standard Class
14973,Second Class,Standard Class
4077,Standard Class,Standard Class
12104,First Class,Standard Class
43627,Standard Class,Standard Class
47929,Second Class,Standard Class
44569,Standard Class,Standard Class
15441,Standard Class,Standard Class
22715,Standard Class,Standard Class
44404,Standard Class,Standard Class
36297,Standard Class,Standard Class
37681,Standard Class,Standard Class
28886,First Class,Standard Class
2686,Standard Class,Standard Class
1596,Second Class,
1419,First Class,Standard Class
14912,Second Class,Standard Class
27201,Same Day,
14664,Second Class,Standard Class
2728,Standard Class,Standard Class
2283,Second Class,Standard Class
18911,Standard Class,Standard Class
13726,First Class,
43743,Standard Class,Standard Class
15189,Second Class,Standard Class
44524,Standard Class,Standard Class
34359,Standard Class,Standard Class
15119,Second Class,Standard Class
31857,Second Class,Standard Class
3547,Same Day,Standard Class
37580,Standard Class,Standard Class
1583,First Class,Standard Class
22036,Standard Class,Standard Class
22087,Standard Class,Standard Class
142,Standard Class,Standard Class
35816,Standard Class,Standard Class
3558,Standard Class,Standard Class
3682,Second Class,Standard Class
41134,Standard Class,Standard Class
34603,Standard Class,Standard Class
18030,Standard Class,Standard Class
2264,First Class,Standard Class
30138,First Class,
38415,Standard Class,Standard Class
36819,Standard Class,Standard Class
3709,Second Class,Standard Class
45788,First Class,Standard Class
13542,First Class,Standard Class
18558,Standard Class,Standard Class
49551,Standard Class,Standard Class
13659,First Class,Standard Class
30801,First Class,Standard Class
46789,Standard Class,Standard Class
35754,Standard Class,Standard Class
4926,Standard Class,Standard Class
64,Standard Class,Standard Class
38644,Standard Class,Standard Class
29466,Second Class,
35485,Standard Class,Standard Class
7014,Standard Class,Standard Class
37245,Standard Class,Standard Class
28995,First Class,Standard Class
46006,Standard Class,Standard Class
42524,Standard Class,Standard Class
28141,First Class,
41861,Standard Class,Standard Class
45326,First Class,Standard Class
6949,Standard Class,Standard Class
35928,Standard Class,Standard Class
38912,Standard Class,Standard Class
48535,Same Day,
44327,Standard Class,Standard Class
3594,Standard Class,Standard Class
27817,Second Class,Standard Class
39641,Standard Class,Standard Class
26270,Second Class,Standard Class
28970,First Class,Standard Class
20569,Standard Class,Standard Class
47927,Second Class,Standard Class
46023,Standard Class,Standard Class
9621,First Class,Standard Class
23001,Standard Class,Standard Class
24705,Second Class,Standard Class
31979,Second Class,Standard Class
13796,First Class,Standard Class
658,Standard Class,Standard Class
37494,Standard Class,Standard Class
28346,Same Day,
5223,Standard Class,Standard Class
35504,Standard Class,Standard Class
36150,Standard Class,Standard Class
19872,Standard Class,Standard Class
21550,Standard Class,Standard Class
7424,Standard Class,Standard Class
25961,First Class,Standard Class
27164,Second Class,Standard Class
50,Standard Class,Standard Class
11967,Same Day,Standard Class
10239,First Class,Standard Class
23044,Standard Class,Standard Class
5320,Standard Class,Standard Class
36306,Standard Class,Standard Class
31268,Second Class,Standard Class
