,Order Priority,Market,Sales,Quantity,Shipping Cost,Discount,City,State,Country,Region,product category,Ship Mode
113,3,1,128.52,4,5.93,0.0,2973,910,2,0,1,Standard Class
114,3,1,11.4,2,0.58,0.0,2973,910,2,0,1,Standard Class
115,3,1,13.32,2,0.78,0.0,2973,910,2,0,1,Standard Class
116,1,1,435.99,1,70.02,0.0,1733,545,2,0,0,First Class
117,1,1,116.31,1,15.42,0.0,72,34,2,0,0,Second Class
118,1,1,638.91,1,93.82,0.0,72,34,2,0,2,Second Class
119,3,1,1050.96,4,64.78,0.0,72,34,2,0,2,Second Class
120,1,1,105.72,4,10.97,0.0,72,34,2,0,1,Second Class
121,1,1,538.44,4,40.92,0.0,72,34,2,0,1,Second Class
122,1,1,22.86,2,1.28,0.0,72,34,2,0,1,Second Class
123,1,1,51.78,1,6.05,0.0,72,34,2,0,1,Second Class
124,1,1,185.76,4,37.71,0.0,72,34,2,0,1,Second Class
125,0,1,147.3,1,50.56,0.0,294,131,2,0,0,First Class
126,3,1,31.95,1,2.4,0.0,774,255,2,0,1,Standard Class
127,1,1,41.28,4,6.07,0.0,319,131,2,0,1,Standard Class
128,1,1,106.92,1,16.77,0.0,72,34,2,0,0,Standard Class
129,3,1,207.12,4,11.21,0.0,72,34,2,0,1,Second Class
130,3,1,58.8,8,0.98,0.0,72,34,2,0,1,Second Class
131,3,1,35.76,2,1.41,0.0,1252,376,2,0,1,Second Class
132,3,1,50.76,2,1.97,0.0,72,34,2,0,1,Standard Class
133,3,1,264.96,2,0.64,0.0,72,34,2,0,0,Standard Class
134,3,1,293.64,2,17.8,0.0,72,34,2,0,0,Standard Class
135,3,1,53.73,1,4.45,0.0,72,34,2,0,1,Standard Class
136,1,1,19.35,1,2.75,0.0,2169,666,2,0,1,Standard Class
137,3,1,98.94,2,6.73,0.0,72,34,2,0,1,Second Class
138,3,1,29.73,1,3.3,0.0,72,34,2,0,1,Second Class
139,3,1,143.34,2,1.88,0.0,72,34,2,0,2,Second Class
140,3,1,287.58,2,19.63,0.0,72,34,2,0,0,Second Class
141,1,1,1052.16,2,147.79,0.0,2746,847,2,0,1,Standard Class
142,1,1,10.77,1,1.23,0.0,2746,847,2,0,1,Standard Class
143,1,1,516.0,4,46.75,0.0,2746,847,2,0,0,Standard Class
144,1,1,163.98,6,26.6,0.0,2746,847,2,0,1,Standard Class
145,1,1,21.3,2,2.4,0.0,2746,847,2,0,1,Standard Class
146,1,1,17.61,1,2.28,0.0,2746,847,2,0,0,Standard Class
147,3,1,519.33,1,25.75,0.0,2952,900,2,0,1,Second Class
148,3,1,49.86,1,5.84,0.0,2952,900,2,0,1,Second Class
149,3,1,481.68,2,25.79,0.0,2344,746,2,0,2,Second Class
150,1,1,39.96,2,6.3,0.0,331,135,2,0,1,First Class
151,3,1,48.09,1,2.58,0.0,72,34,2,0,1,Second Class
152,3,1,90.3,2,9.63,0.0,72,34,2,0,0,Second Class
153,3,1,83.4,2,9.28,0.0,72,34,2,0,1,Second Class
154,3,1,163.56,2,16.64,0.0,2344,746,2,0,1,Standard Class
155,3,1,1515.24,4,98.08,0.0,2344,746,2,0,2,Standard Class
156,3,1,92.88,6,4.95,0.0,2344,746,2,0,1,Standard Class
157,1,1,1008.0,8,122.39,0.0,2344,746,2,0,2,Standard Class
158,0,1,73.26,1,24.16,0.0,72,34,2,0,2,Same Day
159,3,1,14.97,1,0.52,0.0,2344,746,2,0,1,Standard Class
160,1,1,209.76,2,34.8,0.0,2344,746,2,0,2,Standard Class
161,1,1,31.17,1,4.21,0.0,2344,746,2,0,1,Standard Class
162,1,1,13.26,1,2.06,0.0,2344,746,2,0,1,Standard Class
163,1,1,67.98,1,13.22,0.0,2344,746,2,0,2,Standard Class
164,1,1,56.76,2,5.43,0.0,2344,746,2,0,2,Standard Class
165,1,1,19.68,1,3.09,0.0,2344,746,2,0,1,Standard Class
166,1,1,56.76,2,2.77,0.0,2344,746,2,0,2,Standard Class
167,3,1,4.8,1,0.31,0.0,774,255,2,0,1,Second Class
168,3,1,90.96,8,7.47,0.0,2344,746,2,0,1,Standard Class
169,3,1,19.08,4,0.8,0.0,2344,746,2,0,1,Standard Class
170,3,1,22.29,1,1.37,0.0,2344,746,2,0,1,Standard Class
171,2,1,40.83,1,5.01,0.0,72,34,2,0,0,Standard Class
172,2,1,13.29,1,1.93,0.0,72,34,2,0,1,Standard Class
173,0,1,47.64,1,13.85,0.0,1252,376,2,0,1,First Class
174,0,1,105.18,2,3.66,0.0,1252,376,2,0,1,First Class
175,0,1,293.85,1,70.93,0.0,1252,376,2,0,2,First Class
176,0,1,17.49,1,4.23,0.0,1252,376,2,0,1,First Class
177,0,1,27.12,2,6.8,0.0,1252,376,2,0,1,First Class
178,3,1,196.98,1,15.66,0.0,2074,288,2,0,1,Standard Class
179,3,1,23.79,1,1.24,0.0,2074,288,2,0,1,Standard Class
180,3,1,27.24,2,1.97,0.0,2074,288,2,0,1,Standard Class
181,3,1,44.43,1,1.5,0.0,2074,288,2,0,1,Standard Class
182,3,1,4.89,1,0.35,0.0,2074,288,2,0,1,Standard Class
183,3,1,38.52,1,2.67,0.0,2074,288,2,0,2,Standard Class
184,3,1,16.53,1,1.3,0.0,1252,376,2,0,1,Standard Class
185,3,1,314.22,1,18.61,0.0,1252,376,2,0,2,Standard Class
186,3,1,26.37,1,1.19,0.0,855,288,2,0,1,Standard Class
187,3,1,818.28,6,24.26,0.0,2074,288,2,0,1,Standard Class
188,3,1,100.2,4,9.77,0.0,2074,288,2,0,1,Standard Class
189,1,1,122.88,4,19.74,0.0,2048,636,2,0,1,Second Class
190,1,1,123.42,2,20.27,0.0,2169,666,2,0,1,Standard Class
191,1,1,130.32,12,9.15,0.0,2169,666,2,0,1,Standard Class
192,0,1,151.83,1,41.85,0.0,774,255,2,0,2,Second Class
193,0,1,39.39,1,10.58,0.0,774,255,2,0,1,Second Class
194,3,1,874.68,2,54.12,0.0,319,131,2,0,0,Standard Class
195,3,1,26.67,1,3.62,0.0,319,131,2,0,1,Standard Class
196,2,1,52.08,2,10.76,0.0,72,34,2,0,1,Standard Class
197,2,1,49.44,4,4.27,0.0,72,34,2,0,1,Standard Class
198,2,1,25.47,1,2.8,0.0,72,34,2,0,1,Standard Class
199,2,1,45.69,1,5.55,0.0,72,34,2,0,1,Standard Class
200,2,1,5.04,1,0.71,0.0,72,34,2,0,1,Standard Class
201,3,1,92.16,4,6.25,0.0,294,131,2,0,1,Standard Class
202,3,1,15.84,1,2.41,0.0,2344,746,2,0,1,Second Class
203,3,1,160.32,4,12.66,0.0,72,34,2,0,2,Standard Class
204,1,1,24.96,2,1.87,0.0,2344,746,2,0,1,First Class
205,3,1,241.8,2,18.15,0.0,2973,910,2,0,2,Standard Class
206,3,1,10.32,1,0.54,0.0,2973,910,2,0,1,Standard Class
207,3,1,229.56,4,8.81,0.0,2973,910,2,0,1,Standard Class
208,3,3,24.45,1,2.55,0.0,257,110,8,5,1,Standard Class
209,0,3,454.71,1,147.24,0.0,257,110,8,5,0,Same Day
210,0,3,12.69,1,3.42,0.0,257,110,8,5,1,Same Day
211,0,3,28.23,1,7.65,0.0,257,110,8,5,1,Same Day
212,0,3,95.64,2,23.75,0.0,257,110,8,5,2,Same Day
213,3,3,49.32,1,9.76,0.0,257,110,8,5,1,Same Day
214,3,3,137.88,1,6.24,0.0,257,110,8,5,2,Standard Class
215,3,3,26.4,2,2.66,0.0,257,110,8,5,1,Standard Class
216,1,3,254.16,1,71.18,0.0,257,110,8,5,2,First Class
217,1,3,199.08,4,7.36,0.0,257,110,8,5,1,First Class
218,1,3,51.63,1,5.36,0.0,257,110,8,5,2,Second Class
219,3,3,141.33,1,10.89,0.0,257,110,8,5,2,Same Day
220,1,3,29.76,2,4.07,0.0,257,110,8,5,1,Second Class
221,1,3,394.56,8,44.64,0.0,257,110,8,5,1,Standard Class
222,1,3,2058.0,4,393.62,0.0,257,110,8,5,0,Standard Class
223,1,3,10.08,1,1.37,0.0,257,110,8,5,1,Second Class
224,3,3,7.62,1,0.42,0.0,257,110,8,5,1,Standard Class
225,3,3,133.2,1,5.75,0.0,257,110,8,5,1,Standard Class
226,1,3,13.32,2,0.97,0.0,257,110,8,5,1,Standard Class
227,1,3,60.42,2,12.6,0.0,257,110,8,5,1,Standard Class
228,1,3,50.46,1,7.92,0.0,257,110,8,5,0,Standard Class
229,1,3,29.76,1,4.28,0.0,257,110,8,5,1,Second Class
230,3,3,47.49,1,2.03,0.0,257,110,8,5,1,Standard Class
231,3,3,984.84,4,42.72,0.0,257,110,8,5,2,Standard Class
232,3,3,44.01,1,3.66,0.0,257,110,8,5,0,Standard Class
233,3,3,33.36,2,2.25,0.0,257,110,8,5,1,Standard Class
234,3,3,53.91,1,2.98,0.0,257,110,8,5,1,Standard Class
235,3,3,47.4,1,2.16,0.0,257,110,8,5,0,Second Class
236,1,3,157.8,4,27.41,0.0,257,110,8,5,1,Same Day
237,3,3,33.18,2,1.96,0.0,1672,530,1,5,1,Standard Class
238,3,3,15.75,1,1.64,0.0,1672,530,1,5,1,Standard Class
239,3,3,28.23,1,1.94,0.0,1672,530,1,5,1,Standard Class
240,1,3,1619.1,10,301.73,0.0,992,308,1,5,2,Second Class
241,1,3,11.28,1,0.91,0.0,3397,1036,1,5,1,Second Class
242,3,3,6.45,1,0.37,0.0,3397,1036,1,5,1,Standard Class
243,3,3,105.72,4,6.73,0.0,3397,1036,1,5,1,Standard Class
244,3,3,363.75,1,33.38,0.0,3397,1036,1,5,0,Standard Class
245,3,3,58.17,1,5.35,0.0,959,299,1,5,0,Standard Class
246,3,3,414.03,1,26.48,0.0,3397,1036,1,5,0,Standard Class
247,0,3,553.92,4,206.56,0.0,959,299,1,5,2,First Class
248,0,3,182.07,1,59.24,0.0,2941,895,1,5,2,Same Day
249,3,3,85.26,1,4.06,0.0,3397,1036,1,5,2,Standard Class
250,1,3,173.7,6,28.56,0.0,2941,895,1,5,1,Second Class
251,1,3,18.75,1,2.72,0.0,2941,895,1,5,1,Second Class
252,1,3,218.76,4,16.94,0.0,2941,895,1,5,1,Second Class
253,1,3,42.06,1,4.7,0.0,3314,572,5,5,0,Standard Class
254,1,3,94.2,1,6.72,0.0,3314,572,5,5,0,Standard Class
255,2,3,20.49,1,2.08,0.0,3314,572,5,5,1,Standard Class
256,0,1,206.4,1,53.08,0.0,1899,579,3,0,1,Second Class
257,1,1,2478.6,6,349.87,0.0,356,142,3,0,0,Standard Class
258,2,1,9.06,2,0.8,0.0,1899,579,3,0,1,Standard Class
259,1,1,985.68,4,125.89,0.0,1899,579,3,0,2,Standard Class
260,1,1,440.88,4,28.57,0.0,1899,579,3,0,2,Standard Class
261,3,1,28.32,1,2.0,0.0,1899,579,3,0,2,Standard Class
262,3,1,28.26,2,3.71,0.0,1695,147,3,0,1,Standard Class
263,3,1,55.92,2,2.24,0.0,1695,147,3,0,1,Standard Class
264,3,1,254.94,2,22.91,0.0,1695,147,3,0,1,Standard Class
265,3,1,47.4,1,4.58,0.0,1695,147,3,0,0,Standard Class
266,1,1,27.39,1,3.17,0.0,1899,579,3,0,1,Standard Class
267,1,1,143.13,1,9.12,0.0,1899,579,3,0,2,Standard Class
268,1,1,244.74,2,51.57,0.0,1899,579,3,0,2,Standard Class
269,1,1,227.16,12,47.97,0.0,1390,420,3,0,1,Standard Class
270,1,1,65.13,1,3.94,0.0,1390,420,3,0,1,Standard Class
271,1,1,14.55,1,1.97,0.0,1390,420,3,0,1,Standard Class
272,1,1,61.38,2,5.31,0.0,1390,420,3,0,1,Standard Class
273,1,1,107.28,12,8.18,0.0,1390,420,3,0,1,Standard Class
274,1,1,40.26,2,6.91,0.0,1390,420,3,0,0,Standard Class
275,1,1,825.36,2,88.97,0.0,1899,579,3,0,0,Same Day
276,1,1,48.0,1,7.92,0.0,1899,579,3,0,1,Same Day
277,1,1,48.51,1,11.64,0.0,1899,579,3,0,1,Same Day
278,3,1,28.56,4,2.19,0.0,1899,579,3,0,1,Standard Class
279,3,1,53.28,4,5.9,0.0,1899,579,3,0,1,Standard Class
280,3,1,299.58,1,21.56,0.0,1899,579,3,0,2,Standard Class
281,3,1,80.46,1,4.48,0.0,1899,579,3,0,2,Standard Class
282,3,1,147.3,1,30.2,0.0,1899,579,3,0,2,First Class
283,3,1,15.72,2,0.41,0.0,1899,579,3,0,1,First Class
284,3,1,40.29,1,3.79,0.0,1952,592,3,0,2,Standard Class
285,3,1,45.72,1,1.77,0.0,1952,592,3,0,1,Standard Class
286,3,1,51.24,4,0.31,0.0,1952,592,3,0,1,Standard Class
287,3,1,53.46,1,3.75,0.0,1899,579,3,0,1,Standard Class
288,3,1,100.02,2,6.09,0.0,1899,579,3,0,0,Standard Class
289,3,1,52.92,1,3.47,0.0,1899,579,3,0,1,Standard Class
290,3,1,298.62,6,18.65,0.0,1390,420,3,0,1,Standard Class
291,3,1,4.8,1,0.37,0.0,356,142,3,0,1,Standard Class
292,3,1,168.81,1,19.46,0.0,1899,579,3,0,0,Second Class
293,3,1,14.7,1,1.46,0.0,1899,579,3,0,1,Second Class
294,3,1,207.33,1,12.76,0.0,1695,147,3,0,1,Standard Class
295,3,1,52.86,2,2.85,0.0,1695,147,3,0,1,Standard Class
296,3,1,239.04,1,21.03,0.0,1695,147,3,0,2,Standard Class
297,1,1,636.15,1,31.59,0.0,1899,579,3,0,2,Same Day
298,1,1,40.98,1,2.06,0.0,1390,420,3,0,0,Standard Class
299,3,1,106.56,8,14.47,0.0,1899,579,3,0,1,First Class
300,3,1,263.73,1,29.39,0.0,1390,420,3,0,2,Standard Class
301,3,1,128.37,1,7.17,0.0,1899,579,3,0,1,Standard Class
302,3,1,30.84,2,2.27,0.0,1899,579,3,0,1,Standard Class
303,3,1,40.2,4,2.64,0.0,1899,579,3,0,1,Standard Class
304,3,1,652.68,1,52.38,0.0,1901,423,3,0,2,Standard Class
305,3,1,28.38,2,2.31,0.0,356,142,3,0,1,Standard Class
306,1,1,40.62,2,7.28,0.0,1899,579,3,0,1,Second Class
307,1,1,26.22,2,4.92,0.0,1899,579,3,0,1,Second Class
308,1,1,346.92,2,32.39,0.0,1899,579,3,0,2,Second Class
309,1,1,21.48,2,2.4,0.0,1899,579,3,0,1,Second Class
310,1,1,48.45,1,4.54,0.0,1899,579,3,0,0,Second Class
311,1,1,95.04,2,7.96,0.0,1899,579,3,0,1,Second Class
312,1,1,30.45,1,7.28,0.0,1899,579,3,0,1,Second Class
313,1,1,704.76,4,100.51,0.0,1899,579,3,0,0,Second Class
314,1,1,166.68,1,17.42,0.0,1899,579,3,0,0,Standard Class
315,1,1,14.37,1,2.01,0.0,1899,579,3,0,1,Standard Class
316,1,1,145.8,4,15.52,0.0,1899,579,3,0,1,Standard Class
317,1,1,13.86,1,2.07,0.0,1899,579,3,0,1,Standard Class
318,1,1,166.89,1,18.22,0.0,1899,579,3,0,2,Standard Class
319,1,1,402.96,8,41.24,0.0,1899,579,3,0,0,Standard Class
320,1,1,152.04,14,18.74,0.0,356,142,3,0,1,Standard Class
321,1,1,210.69,1,34.31,0.0,356,142,3,0,1,Standard Class
322,1,1,169.2,1,12.3,0.0,356,142,3,0,0,Standard Class
323,1,1,5.04,1,0.74,0.0,1899,579,3,0,1,Standard Class
324,1,1,62.16,1,8.71,0.0,1899,579,3,0,1,Standard Class
325,1,1,93.84,4,10.96,0.0,1899,579,3,0,1,Standard Class
326,3,1,16.32,2,1.63,0.0,1899,579,3,0,1,Standard Class
327,3,1,47.34,1,3.77,0.0,1899,579,3,0,0,Second Class
328,3,1,65.16,6,8.67,0.0,1899,579,3,0,1,Second Class
329,3,1,56.58,1,4.73,0.0,1899,579,3,0,0,Standard Class
330,3,1,55.92,4,4.52,0.0,1899,579,3,0,1,Standard Class
331,1,1,65.16,6,8.57,0.0,1899,579,3,0,1,Second Class
332,3,1,848.4,4,91.0,0.0,1899,579,3,0,1,First Class
333,3,1,48.45,1,2.85,0.0,1899,579,3,0,1,Standard Class
334,3,1,46.32,1,2.64,0.0,1899,579,3,0,1,Standard Class
335,3,1,49.32,1,5.23,0.0,1899,579,3,0,1,Standard Class
336,3,1,65.7,6,2.59,0.0,1899,579,3,0,1,Standard Class
337,3,1,8.79,1,0.95,0.0,1899,579,3,0,1,Standard Class
338,3,1,1480.68,12,70.97,0.0,356,142,3,0,2,Standard Class
339,3,1,1466.88,8,85.35,0.0,356,142,3,0,2,Standard Class
340,1,1,48.0,1,7.85,0.0,1899,579,3,0,1,Second Class
341,3,1,13.98,1,0.85,0.0,1390,420,3,0,1,Standard Class
342,3,1,182.37,1,14.55,0.0,1390,420,3,0,0,Standard Class
343,1,1,34.32,4,3.59,0.0,1390,420,3,0,1,Second Class
344,1,1,110.16,6,19.11,0.0,1390,420,3,0,1,Second Class
345,3,1,532.8,4,20.23,0.0,1390,420,3,0,1,Standard Class
346,3,1,54.18,2,4.29,0.0,1390,420,3,0,1,Standard Class
347,2,1,1877.16,4,95.8,0.0,1899,579,3,0,0,Standard Class
348,3,1,795.6,4,56.09,0.0,1899,579,3,0,1,Standard Class
349,3,1,47.04,1,1.82,0.0,1899,579,3,0,1,Standard Class
350,3,1,4.89,1,0.47,0.0,1899,579,3,0,1,Standard Class
351,3,1,29.4,4,2.52,0.0,1390,420,3,0,1,Standard Class
352,1,1,50.04,1,6.78,0.0,2216,681,3,0,2,First Class
353,1,1,13.38,2,3.3,0.0,2216,681,3,0,1,First Class
354,1,1,48.93,1,6.9,0.0,1899,579,3,0,1,Second Class
355,1,1,275.58,2,44.92,0.0,1899,579,3,0,1,Second Class
356,3,1,318.09,1,23.93,0.0,1899,579,3,0,0,Standard Class
357,3,1,15.57,1,0.97,0.0,1899,579,3,0,1,Standard Class
358,3,1,18.66,1,1.61,0.0,1899,579,3,0,1,Standard Class
359,3,1,568.32,4,15.8,0.0,1899,579,3,0,1,Standard Class
360,1,1,28.35,1,3.67,0.0,1899,579,3,0,1,Standard Class
361,1,1,28.56,4,3.28,0.0,1899,579,3,0,1,Standard Class
362,3,1,34.92,2,3.3,0.0,356,142,3,0,0,Standard Class
363,3,1,26.1,1,3.12,0.0,356,142,3,0,1,Standard Class
364,1,1,30.36,2,3.63,0.0,356,142,3,0,1,Same Day
365,3,1,96.0,2,7.05,0.0,1899,579,3,0,1,Standard Class
366,3,1,7.26,1,0.52,0.0,1899,579,3,0,1,Standard Class
367,3,1,38.58,2,3.11,0.0,1390,420,3,0,1,Standard Class
368,1,1,126.72,6,11.5,0.0,1899,579,3,0,1,Standard Class
369,3,1,668.4,4,61.64,0.0,1390,420,3,0,2,Second Class
370,3,1,166.89,1,0.95,0.0,1390,420,3,0,2,Second Class
371,3,1,102.48,1,11.36,0.0,1390,420,3,0,2,Second Class
372,1,1,193.68,4,25.43,0.0,1899,579,3,0,0,Standard Class
373,2,1,13.68,1,1.24,0.0,1899,579,3,0,1,Standard Class
374,2,1,274.68,2,33.4,0.0,1899,579,3,0,1,Standard Class
375,2,1,328.14,6,37.24,0.0,1899,579,3,0,1,Standard Class
376,3,1,13.23,1,0.85,0.0,1899,579,3,0,1,Second Class
377,3,1,828.06,2,87.64,0.0,1899,579,3,0,0,Second Class
378,0,3,922.95,1,282.09,0.0,3347,1029,7,5,0,Same Day
379,3,3,21.48,2,1.04,0.0,3347,1029,7,5,1,Standard Class
380,3,3,492.96,4,50.55,0.0,3347,1029,7,5,2,Standard Class
381,3,3,28.23,1,3.11,0.0,3347,1029,7,5,1,Standard Class
382,3,3,78.99,1,5.87,0.0,2789,854,7,5,0,Second Class
383,3,3,24.0,1,3.0,0.0,2789,854,7,5,1,Second Class
